budget,model,arm,item,truth,failing,realized_words,fail_retained,policy_survival,decision,decision_correct,which,which_raw,which_correct,which_unmatched,incoherent,nn_decision
40w,grok,control,ops_incident-000,DENIED,umbilical release delay,51,True,1.0,APPROVED,False,NONE,NONE,False,False,False,DENIED
40w,grok,control,ops_incident-001,DENIED,seal torque retention,38,False,0.6666666666666666,APPROVED,False,battery bus impedance,battery,False,False,False,DENIED
40w,grok,control,ops_incident-002,DENIED,seal torque retention,44,True,0.6666666666666666,DENIED,True,seal torque retention,seal torque,True,False,False,DENIED
40w,grok,control,ops_incident-003,APPROVED,,60,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-004,APPROVED,,46,,1.0,APPROVED,True,reserve charge margin,reserve,False,False,False,DENIED
40w,grok,control,ops_incident-005,DENIED,reserve charge margin,49,True,1.0,DENIED,True,reserve charge margin,reserve,True,False,False,DENIED
40w,grok,control,ops_incident-006,APPROVED,,41,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-007,APPROVED,,47,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-008,DENIED,coolant loop flow rate,41,True,1.0,DENIED,True,coolant loop flow rate,coolant,True,False,False,DENIED
40w,grok,control,ops_incident-009,DENIED,battery bus impedance,54,True,1.0,DENIED,True,battery bus impedance,battery,True,False,False,DENIED
40w,grok,control,ops_incident-010,APPROVED,,45,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-011,APPROVED,,46,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-012,APPROVED,,54,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
40w,grok,control,ops_incident-013,APPROVED,,49,,1.0,APPROVED,True,guidance solution confidence,guidance confidence,False,False,False,DENIED
40w,grok,control,ops_incident-014,DENIED,particulate count,51,True,1.0,DENIED,True,particulate count,particulates,True,False,False,DENIED
40w,grok,control,ops_incident-015,DENIED,seal torque retention,47,True,1.0,DENIED,True,seal torque retention,seal,True,False,False,DENIED
40w,grok,control,ops_incident-016,DENIED,coolant loop flow rate,35,True,0.6666666666666666,DENIED,True,coolant loop flow rate,coolant,True,False,False,DENIED
40w,grok,control,ops_incident-017,DENIED,star tracker residual,56,True,1.0,DENIED,True,star tracker residual,star tracker residual,True,False,False,DENIED
40w,grok,control,ops_incident-018,APPROVED,,42,,1.0,APPROVED,True,guidance solution confidence,guidance,False,False,False,DENIED
40w,grok,control,ops_incident-019,APPROVED,,51,,1.0,APPROVED,True,NONE,NONE,True,False,False,DENIED
