model,arm,item,domain,truth,failing,realized_words,n_values,fail_retained,policy_survival,decision,decision_correct,which,which_raw,which_correct,which_unmatched,whichab,whichab_raw,whichab_correct,whichab_abstain,whichab_none,incoherent,nn_decision
grok,ctrl,ops_incident-000,ops_incident,DENIED,umbilical release delay,14,0,False,0.0,DENIED,True,NONE,NONE,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-001,ops_incident,DENIED,seal torque retention,38,12,True,1.0,DENIED,True,seal torque retention,seal,True,False,seal torque retention,seal,True,False,False,False,DENIED
grok,ctrl,ops_incident-002,ops_incident,DENIED,seal torque retention,11,0,False,0.0,DENIED,True,NONE,NONE,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-003,ops_incident,APPROVED,,14,0,,0.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ops_incident-004,ops_incident,APPROVED,,32,12,,1.0,DENIED,False,reserve charge margin,reserve charge margin,False,False,reserve charge margin,reserve charge margin,False,False,False,False,DENIED
grok,ctrl,ops_incident-005,ops_incident,DENIED,reserve charge margin,10,0,False,0.0,DENIED,True,NONE,NONE,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-006,ops_incident,APPROVED,,41,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ops_incident-007,ops_incident,APPROVED,,10,0,,0.0,DENIED,False,NONE,NONE,True,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-008,ops_incident,DENIED,coolant loop flow rate,28,10,True,0.6666666666666666,DENIED,True,coolant loop flow rate,coolant loop flow rate,True,False,coolant loop flow rate,coolant loop flow rate,True,False,False,False,DENIED
grok,ctrl,ops_incident-009,ops_incident,DENIED,battery bus impedance,12,0,False,0.0,APPROVED,False,NONE,NONE,False,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,False,DENIED
grok,ctrl,ops_incident-010,ops_incident,APPROVED,,16,3,,0.0,DENIED,False,NONE,NONE,True,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-011,ops_incident,APPROVED,,39,12,,1.0,APPROVED,True,NONE,NONE,True,False,NONE,NONE,True,False,True,False,DENIED
grok,ctrl,ops_incident-012,ops_incident,APPROVED,,20,6,,0.6666666666666666,DENIED,False,telemetry downlink margin,telemetry downlink margin,False,False,telemetry downlink margin,telemetry downlink margin,False,False,False,False,DENIED
grok,ctrl,ops_incident-013,ops_incident,APPROVED,,10,0,,0.0,DENIED,False,NONE,NONE,True,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,False,True,DENIED
grok,ctrl,ops_incident-014,ops_incident,DENIED,particulate count,29,12,True,1.0,DENIED,True,particulate count,particulate count,True,False,particulate count,particulate count,True,False,False,False,DENIED
