model,arm,item,truth,failing,realized_words,fail_retained,policy_survival,decision,decision_correct,which,which_raw,which_correct,which_unmatched,incoherent,nn_decision
haiku,control,aviation_airworthiness-000,APPROVED,,18,,0.0,DENIED,False,NONE,NONE,True,False,True,APPROVED
haiku,control,aviation_airworthiness-001,APPROVED,,26,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-002,DENIED,pitot heat current draw,15,False,0.0,,False,,,False,False,False,APPROVED
haiku,control,aviation_airworthiness-003,APPROVED,,19,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-004,APPROVED,,16,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-005,APPROVED,,20,,0.0,DENIED,False,NONE,NONE,True,False,True,APPROVED
haiku,control,aviation_airworthiness-006,DENIED,brake wear pin projection,20,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-007,DENIED,engine oil temperature,22,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-008,DENIED,static system leak rate,21,False,0.0,DENIED,True,NONE,NONE,False,False,True,APPROVED
haiku,control,aviation_airworthiness-009,DENIED,engine oil temperature,20,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-010,DENIED,fuel reserve at dispatch,18,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-011,APPROVED,,16,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-012,DENIED,fuel reserve at dispatch,16,False,0.0,,False,,,False,False,False,APPROVED
haiku,control,aviation_airworthiness-013,APPROVED,,16,,0.0,DENIED,False,,,False,False,False,APPROVED
haiku,control,aviation_airworthiness-014,DENIED,propeller blade track deviation,16,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-015,APPROVED,,13,,0.0,DENIED,False,NONE,NONE,True,False,True,APPROVED
haiku,control,aviation_airworthiness-016,APPROVED,,13,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-017,DENIED,magneto drop,17,False,0.0,DENIED,True,,,False,False,False,APPROVED
haiku,control,aviation_airworthiness-018,DENIED,static system leak rate,13,False,0.0,DENIED,True,NONE,NONE,False,False,True,APPROVED
haiku,control,aviation_airworthiness-019,APPROVED,,13,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-020,APPROVED,,24,,0.0,DENIED,False,,,False,False,False,DENIED
haiku,control,aviation_airworthiness-021,DENIED,pitot heat current draw,23,False,0.0,DENIED,True,,,False,False,False,DENIED
haiku,control,aviation_airworthiness-022,APPROVED,,26,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-023,DENIED,pitot heat current draw,20,False,0.0,DENIED,True,,,False,False,False,DENIED
haiku,control,aviation_airworthiness-024,DENIED,nose strut extension,21,False,0.0,,False,,,False,False,False,APPROVED
haiku,control,aviation_airworthiness-025,DENIED,aileron cable tension,25,False,0.0,DENIED,True,static system leak rate,Static system leak rate,False,False,False,APPROVED
haiku,control,aviation_airworthiness-026,DENIED,propeller blade track deviation,34,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-027,APPROVED,,21,,0.3333333333333333,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-028,APPROVED,,28,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-029,APPROVED,,27,,0.0,,False,NONE,NONE,True,False,False,DENIED
haiku,control,aviation_airworthiness-030,DENIED,propeller blade track deviation,20,False,0.0,DENIED,True,NONE,NONE,False,False,True,APPROVED
haiku,control,aviation_airworthiness-031,DENIED,engine oil temperature,22,False,0.0,DENIED,True,NONE,NONE,False,False,True,APPROVED
haiku,control,aviation_airworthiness-032,DENIED,nose strut extension,30,False,0.0,DENIED,True,NONE,NONE,False,False,True,APPROVED
haiku,control,aviation_airworthiness-033,APPROVED,,24,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-034,DENIED,hydraulic system pressure,26,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-035,APPROVED,,15,,0.0,DENIED,False,NONE,NONE,True,False,True,APPROVED
haiku,control,aviation_airworthiness-036,APPROVED,,19,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-037,APPROVED,,17,,0.0,DENIED,False,brake wear pin projection,brake wear pin projection,False,False,False,DENIED
haiku,control,aviation_airworthiness-038,APPROVED,,16,,0.0,,False,,,False,False,False,APPROVED
haiku,control,aviation_airworthiness-039,DENIED,magneto drop,20,False,0.0,,False,,,False,False,False,APPROVED
haiku,control,aviation_airworthiness-040,DENIED,magneto drop,22,False,0.0,DENIED,True,,,False,False,False,APPROVED
haiku,control,aviation_airworthiness-041,APPROVED,,23,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-042,APPROVED,,29,,0.0,,False,,,False,False,False,DENIED
haiku,control,aviation_airworthiness-043,DENIED,propeller blade track deviation,21,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-044,DENIED,nose strut extension,22,False,0.0,DENIED,True,NONE,NONE,False,False,True,DENIED
haiku,control,aviation_airworthiness-045,DENIED,engine oil temperature,25,False,0.0,DENIED,True,NONE,NONE,False,False,True,APPROVED
haiku,control,aviation_airworthiness-046,APPROVED,,20,,0.0,DENIED,False,NONE,NONE,True,False,True,DENIED
haiku,control,aviation_airworthiness-047,DENIED,propeller blade track deviation,23,False,0.0,DENIED,True,NONE,NONE,False,False,True,APPROVED
haiku,control,aviation_airworthiness-048,APPROVED,,24,,0.0,DENIED,False,static system leak rate,static system leak,False,False,False,DENIED
