model,item,source_id,domain,source_truth,source_failing_param,cf_truth,cf_failing_param,orig_decision,orig_correct,orig_required_survived,cf_required_survived,cf_decision,cf_decision_correct,cf_full_doc_decision,cf_full_doc_correct,cf_nonotes_decision,cf_which,cf_which_raw,cf_which_correct,cf_which_confab,cf_abstained,summary_words
grok,ops_incident-cf-000,ops_incident-059,ops_incident,APPROVED,,DENIED,gyro drift rate,DENIED,False,False,False,DENIED,True,DENIED,True,DENIED,NONE,NONE,False,False,True,13
grok,ops_incident-cf-001,ops_incident-000,ops_incident,APPROVED,,DENIED,particulate count,DENIED,False,False,False,APPROVED,False,DENIED,True,DENIED,NONE,NONE,False,False,False,10
grok,ops_incident-cf-002,ops_incident-072,ops_incident,DENIED,telemetry downlink margin,APPROVED,,DENIED,True,True,False,APPROVED,True,APPROVED,True,DENIED,avionics bus load,avionics bus load,False,True,False,23
grok,ops_incident-cf-003,ops_incident-068,ops_incident,APPROVED,,APPROVED,,APPROVED,True,True,False,APPROVED,True,APPROVED,True,DENIED,guidance solution confidence,guidance solution confidence,False,True,False,33
grok,ops_incident-cf-004,ops_incident-055,ops_incident,APPROVED,,APPROVED,,APPROVED,True,False,False,APPROVED,True,APPROVED,True,DENIED,NONE,NONE,True,False,False,10
grok,ops_incident-cf-005,ops_incident-014,ops_incident,DENIED,coolant loop flow rate,DENIED,star tracker residual,DENIED,True,True,True,DENIED,True,APPROVED,False,DENIED,star tracker residual,star tracker,True,False,False,35
grok,ops_incident-cf-006,ops_incident-042,ops_incident,APPROVED,,APPROVED,,DENIED,False,False,False,DENIED,False,APPROVED,True,DENIED,NONE,NONE,True,False,True,9
grok,ops_incident-cf-007,ops_incident-069,ops_incident,APPROVED,,APPROVED,,DENIED,False,True,False,DENIED,False,APPROVED,True,DENIED,telemetry downlink margin,telemetry downlink margin,False,True,False,19
grok,ops_incident-cf-008,ops_incident-008,ops_incident,APPROVED,,DENIED,particulate count,APPROVED,True,False,False,DENIED,True,DENIED,True,DENIED,NONE,NONE,False,False,True,14
grok,ops_incident-cf-009,ops_incident-064,ops_incident,APPROVED,,DENIED,umbilical release delay,APPROVED,True,False,False,APPROVED,False,DENIED,True,DENIED,NONE,NONE,False,False,False,26
grok,ops_incident-cf-010,ops_incident-077,ops_incident,DENIED,avionics bus load,DENIED,condenser outlet temperature,DENIED,True,False,False,APPROVED,False,DENIED,True,DENIED,NONE,NONE,False,False,False,17
grok,ops_incident-cf-011,ops_incident-021,ops_incident,DENIED,seal torque retention,APPROVED,,APPROVED,False,False,False,APPROVED,True,APPROVED,True,DENIED,NONE,NONE,True,False,False,11
grok,ops_incident-cf-012,ops_incident-061,ops_incident,DENIED,telemetry downlink margin,DENIED,seal torque retention,DENIED,True,True,True,DENIED,True,DENIED,True,DENIED,seal torque retention,torque,True,False,False,44
grok,ops_incident-cf-013,ops_incident-032,ops_incident,DENIED,seal torque retention,DENIED,particulate count,DENIED,True,False,False,DENIED,True,DENIED,True,DENIED,NONE,NONE,False,False,False,10
grok,ops_incident-cf-014,ops_incident-066,ops_incident,DENIED,seal torque retention,DENIED,guidance solution confidence,APPROVED,False,False,True,DENIED,True,APPROVED,False,DENIED,guidance solution confidence,guidance solution confidence,True,False,False,37
grok,ops_incident-cf-015,ops_incident-027,ops_incident,APPROVED,,APPROVED,,DENIED,False,False,False,DENIED,False,APPROVED,True,DENIED,NONE,NONE,True,False,True,12
grok,ops_incident-cf-016,ops_incident-030,ops_incident,DENIED,particulate count,APPROVED,,APPROVED,False,False,False,DENIED,False,APPROVED,True,DENIED,NONE,NONE,True,False,False,11
grok,ops_incident-cf-017,ops_incident-071,ops_incident,APPROVED,,DENIED,thermal blanket coverage,DENIED,False,False,False,DENIED,True,DENIED,True,DENIED,NONE,NONE,False,False,True,11
grok,ops_incident-cf-018,ops_incident-063,ops_incident,APPROVED,,APPROVED,,DENIED,False,False,False,DENIED,False,APPROVED,True,DENIED,NONE,NONE,True,False,True,10
grok,ops_incident-cf-019,ops_incident-016,ops_incident,APPROVED,,APPROVED,,DENIED,False,False,False,DENIED,False,APPROVED,True,DENIED,NONE,NONE,True,False,False,14
grok,ops_incident-cf-020,ops_incident-098,ops_incident,DENIED,seal torque retention,APPROVED,,DENIED,True,False,False,DENIED,False,APPROVED,True,DENIED,avionics bus load,avionics bus load,False,True,False,12
grok,ops_incident-cf-021,ops_incident-004,ops_incident,DENIED,condenser outlet temperature,DENIED,particulate count,DENIED,True,False,False,DENIED,True,DENIED,True,DENIED,NONE,NONE,False,False,True,11
grok,ops_incident-cf-022,ops_incident-057,ops_incident,APPROVED,,DENIED,coolant loop flow rate,APPROVED,True,False,True,APPROVED,False,DENIED,True,DENIED,coolant loop flow rate,coolant,True,False,False,21
grok,ops_incident-cf-023,ops_incident-018,ops_incident,DENIED,particulate count,APPROVED,,DENIED,True,False,False,DENIED,False,APPROVED,True,DENIED,NONE,NONE,True,False,False,12
grok,ops_incident-cf-024,ops_incident-087,ops_incident,APPROVED,,DENIED,guidance solution confidence,APPROVED,True,True,True,DENIED,True,DENIED,True,DENIED,guidance solution confidence,guidance,True,False,False,30
grok,ops_incident-cf-025,ops_incident-002,ops_incident,DENIED,battery bus impedance,DENIED,seal torque retention,DENIED,True,False,False,DENIED,True,DENIED,True,DENIED,NONE,NONE,False,False,False,9
grok,ops_incident-cf-026,ops_incident-037,ops_incident,DENIED,thermal blanket coverage,APPROVED,,DENIED,True,True,True,APPROVED,True,APPROVED,True,DENIED,NONE,NONE,True,False,False,34
grok,ops_incident-cf-027,ops_incident-099,ops_incident,DENIED,umbilical release delay,APPROVED,,DENIED,True,False,False,DENIED,False,APPROVED,True,DENIED,NONE,NONE,True,False,False,13
