item,domain,truth,failing_param,summary_words,ret_policy,fail_retained,any_policy_lost,gist_flag,decision,decision_correct,which,which_raw,which_abstain,which_abstain_raw,which_correct,which_confab,abstained,repair_param,repair_ok,repair_specific,nn_decision,nn_param,nn_decision_correct,nn_param_correct,incoherent
v4item00,satellite launch,APPROVED,,10,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,thermal blanket coverage,True,True,DENIED,thermal blanket coverage,False,False,True
v4item01,chemical batch release,APPROVED,,36,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,QA composite audit score,True,True,DENIED,NONE,False,True,False
v4item02,rail switch deployment,APPROVED,,17,0.3333333333333333,,True,False,DENIED,False,heater circuit resistance,heater circuit resistance,heater circuit resistance,heater circuit resistance,False,True,False,heater circuit resistance,False,True,DENIED,,False,False,False
v4item03,data-center failover,APPROVED,,19,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,generator fuel reserve,False,True,DENIED,NONE,False,True,True
v4item04,vaccine lot release,APPROVED,,11,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,seal torque retention,True,True,DENIED,NONE,False,True,True
v4item05,bridge load test,DENIED,anchor bolt torque,19,0.3333333333333333,True,True,False,DENIED,True,anchor bolt torque,torque,anchor bolt torque,torque,True,False,False,anchor bolt torque,True,True,DENIED,anchor bolt torque,True,True,False
v4item06,satellite launch,APPROVED,,17,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,sensor calibration offset,False,True,DENIED,,False,False,True
v4item07,chemical batch release,DENIED,residual solvent concentration,19,0.3333333333333333,True,True,False,DENIED,True,residual solvent concentration,residual solvent concentration,residual solvent concentration,residual solvent concentration,True,False,False,residual solvent concentration,True,True,DENIED,NONE,True,False,False
v4item08,rail switch deployment,APPROVED,,19,0.3333333333333333,,True,False,APPROVED,True,cable insulation resistance,insulation,NONE,NONE,False,True,False,cable insulation resistance,False,True,DENIED,,False,False,False
v4item09,data-center failover,DENIED,cold aisle humidity,16,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,generator fuel reserve,False,True,DENIED,NONE,True,False,True
v4item10,vaccine lot release,APPROVED,,12,0.0,,True,False,DENIED,False,NONE,NONE,NONE,NONE,True,False,False,freezer alarm response time,True,True,DENIED,,False,False,True
v4item11,bridge load test,DENIED,anchor bolt torque,27,1.0,True,False,False,DENIED,True,anchor bolt torque,torque,anchor bolt torque,torque,True,False,False,anchor bolt torque,True,True,DENIED,,True,False,False
v4item12,satellite launch,APPROVED,,28,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,gyro drift rate,True,True,DENIED,gyro drift rate,False,False,False
v4item13,chemical batch release,APPROVED,,19,0.3333333333333333,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,residual solvent concentration,True,True,DENIED,NONE,False,True,False
v4item14,rail switch deployment,DENIED,point blade wear,11,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,point blade wear,False,True,DENIED,NONE,True,False,True
v4item15,data-center failover,DENIED,disk queue depth index,11,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,rack inlet temperature,False,True,DENIED,NONE,True,False,True
