model,arm,item,truth,summary_words,n_values,ret_policy,fail_retained,decision_correct,which,which_correct,abstained
grok,plain_v5,v5item00,DENIED,21,6,0.6666666666666666,True,True,propellant tank ullage pressure,True,False
grok,plain25,v5item00,DENIED,36,10,1.0,True,True,propellant tank ullage pressure,True,False
grok,valuedense,v5item00,DENIED,28,10,0.6666666666666666,True,True,propellant tank ullage pressure,True,False
grok,auditor,v5item00,DENIED,18,6,1.0,True,True,propellant tank ullage pressure,True,False
grok,plain_v5,v5item01,DENIED,19,5,0.3333333333333333,False,True,nitrogen blanket pressure,False,False
grok,plain25,v5item01,DENIED,45,12,1.0,True,True,discharge line conductivity,True,False
grok,valuedense,v5item01,DENIED,39,12,1.0,True,True,discharge line conductivity,True,False
grok,auditor,v5item01,DENIED,16,6,0.3333333333333333,False,False,nitrogen blanket pressure,False,False
grok,plain_v5,v5item02,APPROVED,30,9,0.6666666666666666,,True,NONE,True,False
grok,plain25,v5item02,APPROVED,39,12,1.0,,True,NONE,True,False
grok,valuedense,v5item02,APPROVED,35,12,1.0,,True,NONE,True,False
grok,auditor,v5item02,APPROVED,11,6,0.6666666666666666,,False,UNMATCHED,False,False
grok,plain_v5,v5item03,DENIED,29,10,1.0,True,True,UPS reserve charge,True,False
grok,plain25,v5item03,DENIED,35,11,1.0,True,True,UPS reserve charge,True,False
grok,valuedense,v5item03,DENIED,44,12,1.0,True,True,UPS reserve charge,True,False
grok,auditor,v5item03,DENIED,17,6,0.3333333333333333,False,True,battery string impedance,False,False
grok,plain_v5,v5item04,APPROVED,26,8,0.6666666666666666,,True,NONE,True,False
grok,plain25,v5item04,APPROVED,34,9,0.6666666666666666,,True,NONE,True,False
grok,valuedense,v5item04,APPROVED,29,12,1.0,,True,NONE,True,False
grok,auditor,v5item04,APPROVED,15,6,0.6666666666666666,,True,NONE,True,False
grok,plain_v5,v5item05,APPROVED,21,6,1.0,,True,NONE,True,False
grok,plain25,v5item05,APPROVED,28,7,1.0,,True,NONE,True,False
grok,valuedense,v5item05,APPROVED,36,12,1.0,,True,NONE,True,False
grok,auditor,v5item05,APPROVED,19,6,0.6666666666666666,,False,grout compressive margin,False,False
grok,plain_v5,v5item06,DENIED,11,0,0.0,False,True,NONE,False,True
grok,plain25,v5item06,DENIED,21,3,0.3333333333333333,False,False,NONE,False,False
grok,valuedense,v5item06,DENIED,27,10,1.0,True,True,umbilical retract time,True,False
grok,auditor,v5item06,DENIED,15,6,0.6666666666666666,False,False,umbilical retract time,True,False
grok,plain_v5,v5item07,DENIED,15,2,0.0,False,True,NONE,False,True
grok,plain25,v5item07,DENIED,41,12,1.0,True,True,filtrate turbidity,True,False
grok,valuedense,v5item07,DENIED,33,12,1.0,True,True,filtrate turbidity,True,False
grok,auditor,v5item07,DENIED,15,6,0.6666666666666666,False,False,NONE,False,False
grok,plain_v5,v5item08,APPROVED,18,5,1.0,,True,NONE,True,False
grok,plain25,v5item08,APPROVED,31,8,1.0,,True,NONE,True,False
grok,valuedense,v5item08,APPROVED,36,12,1.0,,False,crossing angle tolerance,False,False
grok,auditor,v5item08,APPROVED,33,12,1.0,,False,crossing angle tolerance,False,False
grok,plain_v5,v5item09,DENIED,27,12,1.0,True,True,generator fuel reserve,True,False
grok,plain25,v5item09,DENIED,33,12,1.0,True,True,generator fuel reserve,True,False
grok,valuedense,v5item09,DENIED,30,12,1.0,True,True,generator fuel reserve,True,False
grok,auditor,v5item09,DENIED,16,6,1.0,True,True,generator fuel reserve,True,False
grok,plain_v5,v5item10,DENIED,11,0,0.0,False,True,NONE,False,True
grok,plain25,v5item10,DENIED,19,2,0.3333333333333333,True,True,NONE,False,True
grok,valuedense,v5item10,DENIED,21,8,0.0,False,True,cumulative cold-chain excursion,False,False
grok,auditor,v5item10,DENIED,17,6,1.0,True,True,stability composite score,False,False
grok,plain_v5,v5item11,DENIED,15,0,0.0,False,True,NONE,False,True
grok,plain25,v5item11,DENIED,20,0,0.0,False,True,NONE,False,True
grok,valuedense,v5item11,DENIED,38,12,1.0,True,True,anchor bolt torque,True,False
grok,auditor,v5item11,DENIED,33,11,1.0,True,True,anchor bolt torque,True,False
grok,plain_v5,v5item12,DENIED,30,7,1.0,True,True,star tracker residual,True,False
grok,plain25,v5item12,DENIED,33,8,1.0,True,True,star tracker residual,True,False
grok,valuedense,v5item12,DENIED,41,12,1.0,True,True,star tracker residual,True,False
grok,auditor,v5item12,DENIED,19,6,1.0,True,True,star tracker residual,True,False
grok,plain_v5,v5item13,APPROVED,15,5,0.6666666666666666,,True,NONE,True,False
grok,plain25,v5item13,APPROVED,39,12,1.0,,True,NONE,True,False
grok,valuedense,v5item13,APPROVED,29,11,1.0,,False,batch purity assay,False,False
grok,auditor,v5item13,APPROVED,20,6,0.6666666666666666,,False,discharge line conductivity,False,False
grok,plain_v5,v5item14,APPROVED,13,0,0.0,,False,NONE,True,True
grok,plain25,v5item14,APPROVED,27,2,0.3333333333333333,,True,NONE,True,True
grok,valuedense,v5item14,APPROVED,35,12,1.0,,True,NONE,True,False
grok,auditor,v5item14,APPROVED,17,6,1.0,,True,NONE,True,False
grok,plain_v5,v5item15,DENIED,9,0,0.0,False,True,NONE,False,True
grok,plain25,v5item15,DENIED,36,8,0.3333333333333333,False,True,chilled water supply temperature,False,False
grok,valuedense,v5item15,DENIED,25,8,0.0,False,True,chilled water supply temperature,False,True
grok,auditor,v5item15,DENIED,13,6,0.0,False,True,chilled water supply temperature,False,True
grok,plain_v5,v5item16,APPROVED,21,3,0.6666666666666666,,False,NONE,True,False
grok,plain25,v5item16,APPROVED,25,3,0.6666666666666666,,True,NONE,True,False
grok,valuedense,v5item16,APPROVED,24,11,0.6666666666666666,,True,NONE,True,False
grok,auditor,v5item16,APPROVED,15,6,0.6666666666666666,,True,NONE,True,False
grok,plain_v5,v5item17,APPROVED,20,5,0.6666666666666666,,True,NONE,True,False
grok,plain25,v5item17,APPROVED,41,10,1.0,,True,NONE,True,False
grok,valuedense,v5item17,APPROVED,36,12,1.0,,True,NONE,True,False
grok,auditor,v5item17,APPROVED,36,12,1.0,,True,NONE,True,False
grok,plain_v5,v5item18,APPROVED,14,3,0.0,,False,NONE,True,True
grok,plain25,v5item18,APPROVED,19,0,0.0,,False,NONE,True,True
grok,valuedense,v5item18,APPROVED,29,9,0.6666666666666666,,True,NONE,True,False
grok,auditor,v5item18,APPROVED,16,6,0.6666666666666666,,False,guidance regression pass rate,False,False
grok,plain_v5,v5item19,DENIED,12,0,0.0,False,True,NONE,False,True
grok,plain25,v5item19,DENIED,18,1,0.0,False,True,NONE,False,True
grok,valuedense,v5item19,DENIED,27,9,0.6666666666666666,True,True,condenser outlet temperature,True,False
grok,auditor,v5item19,DENIED,18,6,0.3333333333333333,True,True,condenser outlet temperature,True,False
grok,plain_v5,v5item20,APPROVED,10,0,0.0,,False,NONE,True,True
grok,plain25,v5item20,APPROVED,35,8,0.6666666666666666,,True,NONE,True,False
grok,valuedense,v5item20,APPROVED,33,11,0.6666666666666666,,True,crossing angle tolerance,False,False
grok,auditor,v5item20,APPROVED,16,6,0.6666666666666666,,True,NONE,True,False
grok,plain_v5,v5item21,DENIED,10,0,0.0,False,True,NONE,False,True
grok,plain25,v5item21,DENIED,44,11,1.0,True,False,NONE,False,False
grok,valuedense,v5item21,DENIED,41,12,1.0,True,True,chilled water supply temperature,True,False
grok,auditor,v5item21,DENIED,18,6,0.3333333333333333,False,True,packet loss on the interconnect,False,False
grok,plain_v5,v5item22,DENIED,16,4,0.3333333333333333,False,True,NONE,False,True
grok,plain25,v5item22,DENIED,30,9,1.0,True,True,seal torque retention,True,False
grok,valuedense,v5item22,DENIED,26,12,1.0,True,True,seal torque retention,True,False
grok,auditor,v5item22,DENIED,12,6,0.3333333333333333,False,True,adjuvant concentration ratio,False,False
grok,plain_v5,v5item23,DENIED,33,11,1.0,True,True,rebar cover depth,True,False
grok,plain25,v5item23,DENIED,49,12,1.0,True,True,rebar cover depth,True,False
grok,valuedense,v5item23,DENIED,36,12,1.0,True,False,rebar cover depth,True,False
grok,auditor,v5item23,DENIED,18,6,0.6666666666666666,True,True,rebar cover depth,True,False
grok,plain_v5,v5item24,DENIED,10,0,0.0,False,True,NONE,False,True
grok,plain25,v5item24,DENIED,31,8,0.6666666666666666,True,True,backup battery charge,True,False
grok,valuedense,v5item24,DENIED,28,9,0.6666666666666666,True,True,backup battery charge,True,False
grok,auditor,v5item24,DENIED,14,6,0.3333333333333333,True,True,backup battery charge,True,False
grok,plain_v5,v5item25,DENIED,14,2,0.0,False,True,NONE,False,True
grok,plain25,v5item25,DENIED,35,7,0.3333333333333333,False,True,particulate count index,False,False
grok,valuedense,v5item25,DENIED,31,13,1.0,True,True,condenser outlet temperature,True,False
grok,auditor,v5item25,DENIED,15,6,0.6666666666666666,False,False,NONE,False,False
grok,plain_v5,v5item26,DENIED,13,0,0.0,False,True,NONE,False,True
grok,plain25,v5item26,DENIED,23,0,0.0,False,True,NONE,False,True
grok,valuedense,v5item26,DENIED,14,7,0.3333333333333333,False,True,crossing angle tolerance,False,False
grok,auditor,v5item26,DENIED,22,5,0.3333333333333333,False,True,crossing angle tolerance,False,False
grok,plain_v5,v5item27,DENIED,40,12,1.0,True,True,generator fuel reserve,True,False
grok,plain25,v5item27,DENIED,48,12,1.0,True,True,generator fuel reserve,True,False
grok,valuedense,v5item27,DENIED,44,12,1.0,True,True,generator fuel reserve,True,False
grok,auditor,v5item27,DENIED,19,6,0.6666666666666666,True,True,generator fuel reserve,True,False
grok,plain_v5,v5item28,APPROVED,26,7,0.6666666666666666,,True,NONE,True,False
grok,plain25,v5item28,APPROVED,51,12,1.0,,True,label reconciliation rate,False,False
grok,valuedense,v5item28,APPROVED,31,11,0.6666666666666666,,True,NONE,True,False
grok,auditor,v5item28,APPROVED,14,6,0.3333333333333333,,False,label reconciliation rate,False,True
grok,plain_v5,v5item29,APPROVED,17,4,0.0,,False,NONE,True,True
grok,plain25,v5item29,APPROVED,47,10,0.6666666666666666,,False,maximum crack width,False,False
grok,valuedense,v5item29,APPROVED,27,7,0.6666666666666666,,False,maximum crack width,False,False
grok,auditor,v5item29,APPROVED,20,6,0.3333333333333333,,False,maximum crack width,False,False
grok,plain_v5,v5item30,DENIED,12,0,0.0,False,True,NONE,False,True
grok,plain25,v5item30,DENIED,19,0,0.0,False,True,NONE,False,True
grok,valuedense,v5item30,DENIED,22,6,0.3333333333333333,False,False,NONE,False,False
grok,auditor,v5item30,DENIED,15,6,0.6666666666666666,True,True,umbilical retract time,False,False
grok,plain_v5,v5item31,APPROVED,10,2,0.0,,False,NONE,True,True
grok,plain25,v5item31,APPROVED,30,8,0.6666666666666666,,True,NONE,True,False
grok,valuedense,v5item31,APPROVED,29,10,0.6666666666666666,,True,NONE,True,False
grok,auditor,v5item31,APPROVED,16,6,0.6666666666666666,,True,NONE,True,False
grok,plain_v5,v5item32,DENIED,36,12,1.0,True,True,interlock relay voltage,True,False
grok,plain25,v5item32,DENIED,42,12,1.0,True,True,interlock relay voltage,True,False
grok,valuedense,v5item32,DENIED,34,12,1.0,True,True,interlock relay voltage,True,False
grok,auditor,v5item32,DENIED,17,6,0.3333333333333333,False,False,NONE,False,False
grok,plain_v5,v5item33,APPROVED,15,2,0.3333333333333333,,False,NONE,True,True
grok,plain25,v5item33,APPROVED,37,11,1.0,,True,NONE,True,False
grok,valuedense,v5item33,APPROVED,25,10,1.0,,True,NONE,True,False
grok,auditor,v5item33,APPROVED,12,6,0.6666666666666666,,False,battery string impedance,False,False
grok,plain_v5,v5item34,DENIED,13,0,0.0,False,False,NONE,False,True
grok,plain25,v5item34,DENIED,23,3,0.0,False,True,NONE,False,True
grok,valuedense,v5item34,DENIED,33,13,1.0,True,True,particulate burden index,True,False
grok,auditor,v5item34,DENIED,15,6,0.3333333333333333,False,False,NONE,False,False
grok,plain_v5,v5item35,APPROVED,22,6,0.6666666666666666,,True,NONE,True,False
grok,plain25,v5item35,APPROVED,32,7,0.6666666666666666,,True,NONE,True,False
grok,valuedense,v5item35,APPROVED,34,12,1.0,,True,NONE,True,False
grok,auditor,v5item35,APPROVED,15,6,1.0,,True,NONE,True,False
grok,plain_v5,v5item36,DENIED,17,4,0.3333333333333333,False,False,NONE,False,False
grok,plain25,v5item36,DENIED,32,10,1.0,True,True,telemetry downlink margin,True,False
grok,valuedense,v5item36,DENIED,21,6,0.6666666666666666,False,False,NONE,False,False
grok,auditor,v5item36,DENIED,14,6,0.3333333333333333,False,True,umbilical retract time,False,False
grok,plain_v5,v5item37,DENIED,16,3,0.0,False,True,NONE,False,True
grok,plain25,v5item37,DENIED,42,12,1.0,True,True,catalyst moisture content,True,False
grok,valuedense,v5item37,DENIED,36,11,1.0,True,True,catalyst moisture content,True,False
grok,auditor,v5item37,DENIED,15,6,0.6666666666666666,True,True,catalyst moisture content,True,False
grok,plain_v5,v5item38,APPROVED,18,5,0.3333333333333333,,False,point blade wear,False,False
grok,plain25,v5item38,APPROVED,37,10,1.0,,True,NONE,True,False
grok,valuedense,v5item38,APPROVED,39,12,1.0,,True,NONE,True,False
grok,auditor,v5item38,APPROVED,18,6,0.6666666666666666,,False,point blade wear,False,False
grok,plain_v5,v5item39,DENIED,18,4,0.3333333333333333,False,False,NONE,False,False
grok,plain25,v5item39,DENIED,26,7,0.3333333333333333,False,False,NONE,False,False
grok,valuedense,v5item39,DENIED,33,11,1.0,True,True,DNS failover propagation time,True,False
grok,auditor,v5item39,DENIED,19,6,0.3333333333333333,False,False,DNS failover propagation time,True,False
grok,plain_v5,v5item40,APPROVED,17,5,0.6666666666666666,,True,NONE,True,False
grok,plain25,v5item40,APPROVED,35,12,1.0,,True,NONE,True,False
grok,valuedense,v5item40,APPROVED,28,12,1.0,,True,NONE,True,False
grok,auditor,v5item40,APPROVED,14,6,0.6666666666666666,,False,endotoxin level,False,False
grok,plain_v5,v5item41,DENIED,18,5,0.3333333333333333,False,True,NONE,False,False
grok,plain25,v5item41,DENIED,22,6,0.6666666666666666,True,True,gust speed during test,True,False
grok,valuedense,v5item41,DENIED,33,12,1.0,True,True,gust speed during test,True,False
grok,auditor,v5item41,DENIED,18,6,0.6666666666666666,True,True,gust speed during test,True,False
grok,plain_v5,v5item42,APPROVED,22,6,1.0,,True,NONE,True,False
grok,plain25,v5item42,APPROVED,45,11,1.0,,True,NONE,True,False
grok,valuedense,v5item42,APPROVED,36,11,1.0,,True,NONE,True,False
grok,auditor,v5item42,APPROVED,19,6,1.0,,True,NONE,True,False
