item,domain,truth,failing_param,summary_words,ret_policy,fail_retained,any_policy_lost,gist_flag,decision,decision_correct,which,which_raw,which_abstain,which_abstain_raw,which_correct,which_confab,abstained,which_abstain_correct,repair_param,repair_ok,nn_decision,nn_param,nn_decision_correct,nn_param_correct
v3item00,satellite launch,DENIED,lead operator certification rating,13,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,False,telemetry downlink margin,False,DENIED,telemetry downlink margin,True,False
v3item01,chemical batch release,DENIED,yield efficiency,19,0.6666666666666666,True,True,False,DENIED,True,yield efficiency,yield,yield efficiency,yield,True,False,False,True,yield efficiency,True,DENIED,NONE,True,False
v3item03,data-center failover,DENIED,UPS reserve charge,38,0.6666666666666666,True,True,True,DENIED,True,UPS reserve charge,UPS,UPS reserve charge,UPS,True,False,False,True,UPS reserve charge,True,,NONE,False,False
v3item04,vaccine lot release,DENIED,fill-volume deviation,31,0.6666666666666666,True,True,True,DENIED,True,fill-volume deviation,fill deviation,fill-volume deviation,fill deviation,True,False,False,True,fill-volume deviation,True,DENIED,NONE,True,False
v3item05,bridge load test,DENIED,pier settlement reading,34,0.6666666666666666,True,True,False,DENIED,True,pier settlement reading,pier settlement,pier settlement reading,pier settlement,True,False,False,True,pier settlement reading,True,DENIED,NONE,True,False
v3item06,satellite launch,DENIED,RF noise margin,12,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,False,RF noise margin,True,,,False,False
v3item08,rail switch deployment,DENIED,lubrication film thickness,10,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,False,signal alignment error,False,,NONE,False,False
v3item13,chemical batch release,DENIED,particulate count index,17,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,False,agitator torque,False,,NONE,False,False
v3item19,chemical batch release,DENIED,reactor jacket temperature,16,0.3333333333333333,False,True,False,APPROVED,False,NONE,NONE,NONE,NONE,False,False,False,False,yield efficiency,False,,,False,False
v3item21,data-center failover,DENIED,replication lag,17,0.3333333333333333,True,True,True,DENIED,True,replication lag,replication lag,replication lag,replication lag,True,False,False,True,replication lag,True,DENIED,battery string impedance,True,False
v3item23,bridge load test,DENIED,peak midspan deflection,19,0.6666666666666666,True,True,False,DENIED,True,peak midspan deflection,peak midspan deflection,peak midspan deflection,peak midspan deflection,True,False,False,True,peak midspan deflection,True,,,False,False
v3item24,satellite launch,DENIED,lead operator certification rating,26,0.6666666666666666,False,True,False,APPROVED,False,NONE,NONE,NONE,NONE,False,False,False,False,star tracker residual,False,,,False,False
