item,domain,truth,failing_param,summary_words,ret_policy,fail_retained,any_policy_lost,gist_flag,decision,decision_correct,which,which_raw,which_abstain,which_abstain_raw,which_correct,which_confab,abstained,which_abstain_correct,repair_param,repair_ok,nn_decision,nn_param,nn_decision_correct,nn_param_correct
v3item00,satellite launch,DENIED,lead operator certification rating,48,1.0,True,False,False,DENIED,True,lead operator certification rating,cert,lead operator certification rating,cert,True,False,False,True,lead operator certification rating,True,DENIED,telemetry downlink margin,True,False
v3item01,chemical batch release,DENIED,yield efficiency,46,1.0,True,False,False,DENIED,True,yield efficiency,yield,yield efficiency,yield,True,False,False,True,yield efficiency,True,DENIED,NONE,True,False
v3item02,rail switch deployment,APPROVED,,47,1.0,,False,False,APPROVED,True,NONE,NONE,point blade wear,point blade wear,True,False,False,False,point blade wear,True,DENIED,signal alignment error,False,False
v3item03,data-center failover,DENIED,UPS reserve charge,53,1.0,True,False,True,DENIED,True,UPS reserve charge,UPS reserve charge,UPS reserve charge,UPS 59.98 %,True,False,False,True,UPS reserve charge,True,,NONE,False,False
v3item04,vaccine lot release,DENIED,fill-volume deviation,41,0.6666666666666666,True,True,True,DENIED,True,fill-volume deviation,fill deviation,fill-volume deviation,fill deviation,True,False,False,True,fill-volume deviation,True,DENIED,NONE,True,False
v3item05,bridge load test,DENIED,pier settlement reading,64,1.0,True,False,False,DENIED,True,pier settlement reading,pier settlement,pier settlement reading,pier settlement,True,False,False,True,pier settlement reading,True,DENIED,NONE,True,False
v3item06,satellite launch,DENIED,RF noise margin,62,0.6666666666666666,True,True,True,DENIED,True,RF noise margin,RF margin,RF noise margin,RF margin,True,False,False,True,RF noise margin,True,,,False,False
v3item07,chemical batch release,APPROVED,,30,1.0,,False,False,DENIED,False,yield efficiency,yield efficiency,yield efficiency,yield efficiency,False,True,False,False,yield efficiency,False,,NONE,False,True
v3item08,rail switch deployment,DENIED,lubrication film thickness,51,1.0,True,False,False,DENIED,True,lubrication film thickness,lubrication film thickness,lubrication film thickness,lubrication film thickness,True,False,False,True,lubrication film thickness,True,,NONE,False,False
v3item09,data-center failover,APPROVED,,49,1.0,,False,True,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,True,transfer switch actuation time,True,,NONE,False,True
