compressor,answerer,item,truth,fail_retained,any_policy_lost,decision,decision_correct,which,which_correct,which_confab,abstained,incoherent
grok,grok,v5item00,DENIED,True,True,DENIED,True,propellant tank ullage pressure,True,False,False,False
grok,haiku,v5item00,DENIED,True,True,DENIED,True,propellant tank ullage pressure,True,False,False,False
grok,gpt,v5item00,DENIED,True,True,DENIED,True,propellant tank ullage pressure,True,False,False,False
grok,grok,v5item01,DENIED,False,True,DENIED,True,nitrogen blanket pressure,False,True,False,False
grok,haiku,v5item01,DENIED,False,True,DENIED,True,UNMATCHED,False,False,True,False
grok,gpt,v5item01,DENIED,False,True,DENIED,True,discharge line conductivity,True,False,True,False
grok,grok,v5item02,APPROVED,,True,APPROVED,True,NONE,True,False,False,False
grok,haiku,v5item02,APPROVED,,True,APPROVED,True,track gauge deviation,False,True,False,False
grok,gpt,v5item02,APPROVED,,True,DENIED,False,track gauge deviation,False,True,False,False
grok,grok,v5item03,DENIED,True,False,DENIED,True,UPS reserve charge,True,False,False,False
grok,haiku,v5item03,DENIED,True,False,DENIED,True,UPS reserve charge,True,False,False,False
grok,gpt,v5item03,DENIED,True,False,DENIED,True,UPS reserve charge,True,False,False,False
grok,grok,v5item04,APPROVED,,True,APPROVED,True,NONE,True,False,False,False
grok,haiku,v5item04,APPROVED,,True,APPROVED,True,sterility clarity index,False,True,False,False
grok,gpt,v5item04,APPROVED,,True,DENIED,False,sterility clarity index,False,True,False,False
grok,grok,v5item05,APPROVED,,False,APPROVED,True,NONE,True,False,False,False
grok,haiku,v5item05,APPROVED,,False,APPROVED,True,NONE,True,False,True,False
grok,gpt,v5item05,APPROVED,,False,APPROVED,True,NONE,True,False,False,False
grok,grok,v5item06,DENIED,False,True,DENIED,True,NONE,False,False,True,True
grok,haiku,v5item06,DENIED,False,True,DENIED,True,UNMATCHED,False,False,True,False
grok,gpt,v5item06,DENIED,False,True,DENIED,True,NONE,False,False,True,True
grok,grok,v5item07,DENIED,False,True,DENIED,True,NONE,False,False,True,True
grok,haiku,v5item07,DENIED,False,True,DENIED,True,UNMATCHED,False,False,True,False
grok,gpt,v5item07,DENIED,False,True,DENIED,True,NONE,False,False,True,True
grok,grok,v5item08,APPROVED,,False,APPROVED,True,NONE,True,False,False,False
grok,haiku,v5item08,APPROVED,,False,APPROVED,True,NONE,True,False,False,False
grok,gpt,v5item08,APPROVED,,False,DENIED,False,NONE,True,False,False,True
grok,grok,v5item09,DENIED,True,False,DENIED,True,generator fuel reserve,True,False,False,False
grok,haiku,v5item09,DENIED,True,False,DENIED,True,generator fuel reserve,True,False,False,False
grok,gpt,v5item09,DENIED,True,False,DENIED,True,generator fuel reserve,True,False,False,False
grok,grok,v5item10,DENIED,False,True,DENIED,True,NONE,False,False,True,True
grok,haiku,v5item10,DENIED,False,True,DENIED,True,UNMATCHED,False,False,True,False
grok,gpt,v5item10,DENIED,False,True,APPROVED,False,NONE,False,False,True,False
grok,grok,v5item11,DENIED,False,True,DENIED,True,NONE,False,False,True,True
grok,haiku,v5item11,DENIED,False,True,,False,UNMATCHED,False,False,True,False
grok,gpt,v5item11,DENIED,False,True,DENIED,True,cable tension uniformity,False,True,True,False
grok,grok,v5item12,DENIED,True,False,DENIED,True,star tracker residual,True,False,False,False
grok,haiku,v5item12,DENIED,True,False,DENIED,True,star tracker residual,True,False,False,False
