model,item,domain,truth,failing_param,summary_words,ret_policy,fail_retained,any_policy_lost,gist_flag,decision,decision_correct,which,which_raw,which_abstain,which_abstain_raw,which_correct,which_confab,abstained,repair_param,repair_ok,repair_specific,nn_decision,nn_decision_correct,incoherent
grok,v5item00,satellite launch,DENIED,propellant tank ullage pressure,21,0.6666666666666666,True,True,False,DENIED,True,propellant tank ullage pressure,ullage,propellant tank ullage pressure,ullage,True,False,False,propellant tank ullage pressure,True,True,DENIED,True,False
grok,v5item01,chemical batch release,DENIED,discharge line conductivity,19,0.3333333333333333,False,True,False,DENIED,True,nitrogen blanket pressure,nitrogen blanket pressure,nitrogen blanket pressure,nitrogen blanket pressure,False,True,False,nitrogen blanket pressure,False,True,DENIED,True,False
grok,v5item02,rail switch deployment,APPROVED,,30,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,,False,True,DENIED,False,False
grok,v5item03,data-center failover,DENIED,UPS reserve charge,29,1.0,True,False,True,DENIED,True,UPS reserve charge,UPS,UPS reserve charge,UPS,True,False,False,UPS reserve charge,True,True,DENIED,True,False
grok,v5item04,vaccine lot release,APPROVED,,26,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,adjuvant concentration ratio,True,True,DENIED,False,False
grok,v5item05,bridge load test,APPROVED,,21,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,peak midspan deflection,True,True,DENIED,False,False
grok,v5item06,satellite launch,DENIED,umbilical retract time,11,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,telemetry downlink margin,False,True,DENIED,True,True
grok,v5item07,chemical batch release,DENIED,filtrate turbidity,15,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,reactor jacket temperature,False,True,DENIED,True,True
grok,v5item08,rail switch deployment,APPROVED,,18,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,drive motor current draw,True,True,DENIED,False,False
grok,v5item09,data-center failover,DENIED,generator fuel reserve,27,1.0,True,False,True,DENIED,True,generator fuel reserve,fuel,generator fuel reserve,fuel,True,False,False,generator fuel reserve,True,True,DENIED,True,False
grok,v5item10,vaccine lot release,DENIED,label reconciliation rate,11,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,stability composite score,False,True,DENIED,True,True
grok,v5item11,bridge load test,DENIED,anchor bolt torque,15,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,anchor bolt torque,False,True,DENIED,True,True
grok,v5item12,satellite launch,DENIED,star tracker residual,30,1.0,True,False,False,DENIED,True,star tracker residual,star tracker,star tracker residual,star tracker,True,False,False,star tracker residual,True,True,DENIED,True,False
grok,v5item13,chemical batch release,APPROVED,,15,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,batch purity assay,True,True,DENIED,False,False
grok,v5item14,rail switch deployment,APPROVED,,13,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,ballast compaction index,False,True,DENIED,False,True
grok,v5item15,data-center failover,DENIED,storage array rebuild margin,9,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,chilled water supply temperature,False,True,DENIED,True,True
grok,v5item16,vaccine lot release,APPROVED,,21,0.6666666666666666,,True,False,DENIED,False,NONE,NONE,NONE,NONE,True,False,False,potency assay result,True,True,DENIED,False,True
grok,v5item17,bridge load test,APPROVED,,20,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,pier settlement reading,True,True,DENIED,False,False
grok,v5item18,satellite launch,APPROVED,,14,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,avionics bus load,True,True,DENIED,False,True
