model,corpus,wl,item,realized_words,fail_retained,decision_correct,which_correct
haiku,incident,5,v5item00,6,False,False,False
haiku,incident,5,v5item01,6,False,True,False
haiku,incident,5,v5item03,8,False,True,False
haiku,incident,5,v5item06,6,False,False,False
haiku,incident,5,v5item07,7,False,True,False
haiku,incident,5,v5item09,8,True,True,True
haiku,incident,5,v5item10,9,False,False,False
haiku,incident,5,v5item11,7,False,False,False
haiku,incident,5,v5item12,6,False,False,False
haiku,incident,5,v5item15,7,False,True,False
haiku,incident,5,v5item19,6,False,False,False
haiku,incident,5,v5item21,7,False,False,False
haiku,incident,5,v5item22,6,False,False,False
haiku,incident,5,v5item23,6,False,False,False
haiku,incident,5,v5item24,6,False,False,False
haiku,incident,5,v5item25,6,False,True,False
haiku,incident,5,v5item26,7,False,True,False
haiku,incident,5,v5item27,6,False,True,False
haiku,incident,5,v5item30,6,False,False,False
haiku,incident,5,v5item32,7,False,False,False
haiku,incident,5,v5item34,7,False,False,False
haiku,incident,5,v5item36,6,False,False,False
haiku,incident,5,v5item37,7,False,True,False
haiku,incident,5,v5item39,7,False,True,False
haiku,incident,5,v5item41,8,False,False,False
haiku,incident,5,v5item44,6,False,True,False
haiku,incident,5,v5item48,6,False,True,False
haiku,incident,5,v5item49,6,False,True,False
haiku,incident,5,v5item53,6,False,False,False
haiku,incident,5,v5item55,7,False,False,False
haiku,incident,10,v5item00,11,False,False,False
haiku,incident,10,v5item01,14,False,True,False
haiku,incident,10,v5item03,12,False,True,False
haiku,incident,10,v5item06,12,False,True,False
haiku,incident,10,v5item07,11,False,True,False
haiku,incident,10,v5item09,13,True,True,True
haiku,incident,10,v5item10,16,False,True,False
haiku,incident,10,v5item11,14,False,False,False
haiku,incident,10,v5item12,11,False,True,False
haiku,incident,10,v5item15,11,False,True,False
haiku,incident,10,v5item19,14,False,False,False
haiku,incident,10,v5item21,10,False,True,False
haiku,incident,10,v5item22,14,False,True,True
haiku,incident,10,v5item23,14,False,True,False
haiku,incident,10,v5item24,12,False,True,False
haiku,incident,10,v5item25,12,False,True,False
haiku,incident,10,v5item26,13,False,True,False
haiku,incident,10,v5item27,11,False,True,False
haiku,incident,10,v5item30,12,False,True,False
haiku,incident,10,v5item32,20,False,True,False
haiku,incident,10,v5item34,13,False,False,False
haiku,incident,10,v5item36,13,False,True,False
haiku,incident,10,v5item37,12,False,True,False
haiku,incident,10,v5item39,12,False,True,False
haiku,incident,10,v5item41,13,False,True,False
haiku,incident,10,v5item44,12,False,True,False
haiku,incident,10,v5item48,14,False,True,False
haiku,incident,10,v5item49,12,False,True,False
haiku,incident,10,v5item53,14,False,True,False
haiku,incident,10,v5item55,14,False,True,False
haiku,incident,15,v5item00,22,True,True,True
haiku,incident,15,v5item01,17,False,True,False
haiku,incident,15,v5item03,23,True,True,True
haiku,incident,15,v5item06,15,False,True,False
haiku,incident,15,v5item07,17,False,True,False
haiku,incident,15,v5item09,17,True,True,True
haiku,incident,15,v5item10,20,False,True,False
haiku,incident,15,v5item11,18,False,True,False
haiku,incident,15,v5item12,20,True,True,True
haiku,incident,15,v5item15,19,False,True,False
haiku,incident,15,v5item19,18,False,True,False
haiku,incident,15,v5item21,14,False,True,False
haiku,incident,15,v5item22,20,True,True,True
haiku,incident,15,v5item23,21,False,True,False
haiku,incident,15,v5item24,22,False,True,False
haiku,incident,15,v5item25,16,False,True,False
haiku,incident,15,v5item26,18,False,True,False
haiku,incident,15,v5item27,25,False,False,False
haiku,incident,15,v5item30,16,False,True,False
haiku,incident,15,v5item32,20,False,True,False
haiku,incident,15,v5item34,17,False,False,False
haiku,incident,15,v5item36,20,True,True,False
haiku,incident,15,v5item37,25,True,True,True
haiku,incident,15,v5item39,16,False,True,False
haiku,incident,15,v5item41,18,False,True,False
haiku,incident,15,v5item44,18,False,True,False
haiku,incident,15,v5item48,19,False,True,False
haiku,incident,15,v5item49,18,False,True,False
haiku,incident,15,v5item53,18,False,True,False
haiku,incident,15,v5item55,21,False,True,False
haiku,incident,25,v5item00,27,True,True,True
haiku,incident,25,v5item01,25,False,True,False
haiku,incident,25,v5item03,44,True,True,True
haiku,incident,25,v5item06,29,False,True,False
haiku,incident,25,v5item07,30,False,False,False
haiku,incident,25,v5item09,29,True,True,True
haiku,incident,25,v5item10,38,True,True,False
haiku,incident,25,v5item11,46,True,True,True
haiku,incident,25,v5item12,31,True,True,True
haiku,incident,25,v5item15,29,False,True,False
haiku,incident,25,v5item19,27,True,True,True
haiku,incident,25,v5item21,33,True,True,False
haiku,incident,25,v5item22,31,True,True,True
haiku,incident,25,v5item23,42,True,True,True
haiku,incident,25,v5item24,31,True,True,True
haiku,incident,25,v5item25,29,False,True,False
haiku,incident,25,v5item26,36,False,True,False
haiku,incident,25,v5item27,48,True,True,True
haiku,incident,25,v5item30,38,False,True,False
haiku,incident,25,v5item32,55,False,False,False
haiku,incident,25,v5item34,28,False,False,False
haiku,incident,25,v5item36,28,True,True,False
haiku,incident,25,v5item37,37,True,True,True
