arm,decision_correct,fail_retained,item,ret_40,ret_80,ret_policy,which_correct,words
direct,True,True,v5item00,,,0.6666666666666666,True,23
chain,True,True,v5item00,1.0,1.0,0.6666666666666666,True,12
direct,True,False,v5item01,,,0.0,False,12
chain,True,False,v5item01,1.0,1.0,0.0,False,9
direct,True,True,v5item03,,,1.0,True,29
chain,True,False,v5item03,1.0,1.0,0.0,True,19
direct,True,False,v5item06,,,0.0,False,11
chain,True,False,v5item06,1.0,1.0,0.0,False,12
direct,True,False,v5item07,,,0.0,False,15
chain,True,False,v5item07,1.0,1.0,0.0,False,11
direct,True,True,v5item09,,,1.0,True,27
chain,True,True,v5item09,1.0,1.0,1.0,True,29
direct,True,False,v5item10,,,0.0,False,13
chain,True,False,v5item10,0.6666666666666666,0.6666666666666666,0.0,False,9
direct,True,False,v5item11,,,0.0,False,15
chain,True,True,v5item11,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,18
direct,True,True,v5item12,,,1.0,True,28
chain,True,True,v5item12,1.0,1.0,1.0,True,17
direct,True,False,v5item15,,,0.0,False,9
chain,False,True,v5item15,1.0,1.0,1.0,True,47
direct,True,False,v5item19,,,0.0,False,12
chain,True,False,v5item19,0.3333333333333333,1.0,0.0,False,12
direct,True,False,v5item21,,,0.0,False,12
chain,True,False,v5item21,1.0,1.0,0.0,False,10
direct,True,False,v5item22,,,0.3333333333333333,False,20
chain,True,False,v5item22,0.6666666666666666,1.0,0.6666666666666666,False,15
direct,True,True,v5item23,,,1.0,False,45
chain,False,True,v5item23,1.0,1.0,1.0,True,36
direct,True,True,v5item24,,,0.3333333333333333,True,19
chain,True,True,v5item24,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,32
direct,True,False,v5item25,,,0.0,False,14
chain,True,False,v5item25,1.0,1.0,0.0,False,9
direct,True,False,v5item26,,,0.0,False,11
chain,True,True,v5item26,0.6666666666666666,1.0,0.6666666666666666,True,31
direct,True,True,v5item27,,,1.0,True,37
chain,True,True,v5item27,1.0,1.0,0.6666666666666666,False,15
direct,True,False,v5item30,,,0.0,False,11
chain,True,False,v5item30,0.0,0.3333333333333333,0.0,False,9
direct,True,True,v5item32,,,1.0,True,36
chain,True,False,v5item32,1.0,1.0,0.0,False,18
direct,False,False,v5item34,,,0.0,False,12
chain,True,False,v5item34,1.0,1.0,0.3333333333333333,False,14
direct,True,False,v5item36,,,0.3333333333333333,False,15
chain,False,False,v5item36,1.0,1.0,0.0,False,11
direct,True,False,v5item37,,,0.0,False,15
chain,True,False,v5item37,0.0,1.0,0.0,False,11
direct,False,False,v5item39,,,0.3333333333333333,False,18
chain,True,True,v5item39,0.6666666666666666,1.0,0.6666666666666666,True,15
direct,False,False,v5item41,,,0.3333333333333333,False,18
chain,True,False,v5item41,1.0,1.0,0.0,False,12
direct,False,True,v5item44,,,1.0,False,36
chain,True,True,v5item44,1.0,1.0,1.0,False,49
direct,True,False,v5item48,,,0.0,False,11
chain,True,False,v5item48,1.0,1.0,0.3333333333333333,False,14
direct,True,False,v5item49,,,0.0,False,14
chain,False,False,v5item49,1.0,1.0,0.3333333333333333,False,27
direct,True,False,v5item53,,,0.0,False,16
chain,False,False,v5item53,1.0,1.0,0.3333333333333333,False,15
direct,True,True,v5item55,,,0.3333333333333333,True,25
chain,True,False,v5item55,0.0,1.0,0.0,False,14
